asa_NoVuelo,asa_AerolineaICAO,asa_FechaHoraSlot,asa_FechaHoraPosicion2,asa_TipoAvion,asa_Terminal,asa_Posicion,asa_TipoOperacion,slot,posicion2,delay_to_gate,hour_sin,hour_cos,day_sin,day_cos,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24
812.0,AMX,2026-08-03 21:20:00,2026-03-08 21:34:00,B7M8,T2,85,D,2026-08-03 21:20:00,2026-03-08 21:34:00,14,-0.6427876096865396,0.7660444431189778,0.0,1.0,4.0,9.0,23.0,30.0,69.0,16.0,10.0,55.0,-7.0,-1.0,23.0,106.0,32.0,-10.0,0.0,15.0,12.0,16.0,2.0,27.0,12.0,53.0,17.0,4.0
25.0,AMX,2026-08-03 21:25:00,2026-03-08 21:55:00,B789,T2,67,D,2026-08-03 21:25:00,2026-03-08 21:55:00,30,-0.625923472184059,0.7798844830928818,0.0,1.0,14.0,4.0,9.0,23.0,30.0,69.0,16.0,10.0,55.0,-7.0,-1.0,23.0,106.0,32.0,-10.0,0.0,15.0,12.0,16.0,2.0,27.0,12.0,53.0,17.0
714.0,AMX,2026-08-03 21:25:00,2026-03-08 21:37:00,B7M8,T2,81,D,2026-08-03 21:25:00,2026-03-08 21:37:00,12,-0.625923472184059,0.7798844830928818,0.0,1.0,30.0,14.0,4.0,9.0,23.0,30.0,69.0,16.0,10.0,55.0,-7.0,-1.0,23.0,106.0,32.0,-10.0,0.0,15.0,12.0,16.0,2.0,27.0,12.0,53.0
323.0,AMX,2026-08-03 21:30:00,2026-03-08 21:56:00,B738,T2,85,A,2026-08-03 21:30:00,2026-03-08 21:56:00,26,-0.608761429008721,0.7933533402912349,0.0,1.0,12.0,30.0,14.0,4.0,9.0,23.0,30.0,69.0,16.0,10.0,55.0,-7.0,-1.0,23.0,106.0,32.0,-10.0,0.0,15.0,12.0,16.0,2.0,27.0,12.0
955.0,AMX,2026-08-03 21:30:00,2026-03-08 21:23:00,B39M,T2,71,A,2026-08-03 21:30:00,2026-03-08 21:23:00,-7,-0.608761429008721,0.7933533402912349,0.0,1.0,26.0,12.0,30.0,14.0,4.0,9.0,23.0,30.0,69.0,16.0,10.0,55.0,-7.0,-1.0,23.0,106.0,32.0,-10.0,0.0,15.0,12.0,16.0,2.0,27.0
783.0,UAL,2026-08-03 21:30:00,2026-03-08 21:40:00,B7M8,T1,35,A,2026-08-03 21:30:00,2026-03-08 21:40:00,10,-0.608761429008721,0.7933533402912349,0.0,1.0,-7.0,26.0,12.0,30.0,14.0,4.0,9.0,23.0,30.0,69.0,16.0,10.0,55.0,-7.0,-1.0,23.0,106.0,32.0,-10.0,0.0,15.0,12.0,16.0,2.0
713.0,AMX,2026-08-03 21:40:00,2026-03-08 21:55:00,B738,T2,66,A,2026-08-03 21:40:00,2026-03-08 21:55:00,15,-0.5735764363510465,0.8191520442889916,0.0,1.0,10.0,-7.0,26.0,12.0,30.0,14.0,4.0,9.0,23.0,30.0,69.0,16.0,10.0,55.0,-7.0,-1.0,23.0,106.0,32.0,-10.0,0.0,15.0,12.0,16.0
751.0,VOI,2026-08-03 21:45:00,2026-03-08 21:33:00,A320,T1,32,A,2026-08-03 21:45:00,2026-03-08 21:33:00,-12,-0.555570233019603,0.8314696123025447,0.0,1.0,15.0,10.0,-7.0,26.0,12.0,30.0,14.0,4.0,9.0,23.0,30.0,69.0,16.0,10.0,55.0,-7.0,-1.0,23.0,106.0,32.0,-10.0,0.0,15.0,12.0
421.0,VOI,2026-08-03 21:45:00,2026-03-08 21:41:00,A321,T1,10,A,2026-08-03 21:45:00,2026-03-08 21:41:00,-4,-0.555570233019603,0.8314696123025447,0.0,1.0,-12.0,15.0,10.0,-7.0,26.0,12.0,30.0,14.0,4.0,9.0,23.0,30.0,69.0,16.0,10.0,55.0,-7.0,-1.0,23.0,106.0,32.0,-10.0,0.0,15.0
324.0,VOI,2026-08-03 21:45:00,2026-03-08 22:06:00,A321,T1,27,D,2026-08-03 21:45:00,2026-03-08 22:06:00,21,-0.555570233019603,0.8314696123025447,0.0,1.0,-4.0,-12.0,15.0,10.0,-7.0,26.0,12.0,30.0,14.0,4.0,9.0,23.0,30.0,69.0,16.0,10.0,55.0,-7.0,-1.0,23.0,106.0,32.0,-10.0,0.0
